protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Hectd4	0.37	0.52	0.49	0.59	0.4	0.54	0.65	0.63	0.56	0.21	0.34	0.26	0.22	0.26	0.27	0.23
Atat1	15.42	14.44	8.18	12.44	14.47	13.04	17.2	14.99	10.19	7.58	8.92	7.39	6.94	6.49	5.7	8.92
Mpst	22.64	18.71	14.08	17.78	14.89	12.46	22	13.43	11.62	7.91	15.19	9.83	9.42	6.5	9.95	6.37
Golph3l	0.08	0.12	0.1	0.17	0.14	0.06	0.11	0.11	0.12	0.07	0.21	0.09	0.16	0.13	0.13	0.1
Rps16	35.75	63.55	38.21	25.57	31.13	10.76	60.29	63.28	26.15	18.37	47.13	13.15	26.04	14.59	13.28	27.13
Srgap3	2.24	3	1.22	1.92	2.19	2.34	2.31	2.59	1.18	1.32	1.46	1.06	1.22	1.09	1.44	1.31
Gorasp2	10.22	8.64	8.25	2.23	5.96	3.29	6	5.38	1.91	4.7	9.82	1.87	3.66	4.02	2.96	4.5
Got1	18.01	20.82	21.22	31.6	24.76	16.97	25.01	22.77	21.16	17.58	22.68	23.51	14.28	15.64	20.14	13.56
Got2	2.65	3.58	2.25	3.93	2.67	4.53	4.12	3.99	2.17	3.6	5.31	5.96	2.62	4.53	7.66	5.79
6-Sep	9.21	9.17	2.63	6.25	7.57	5.83	5.03	9.07	5.78	2.83	4.17	2.04	2.46	5.96	5.55	2.21
Gpc1	9.24	6.94	8.42	10.82	8.12	13.59	5.77	7.73	5.83	7.79	6.64	8.4	8.29	7.64	6.57	7.08
Gpc2	8.24	4.47	4.85	8.27	6.16	7	3.72	7.16	4.11	7	3.85	4.57	4.43	6.8	5.07	3.07
Gpc4	0.4	2.21	1.77	2	2.5	2.67	1.58	2.26	1.51	2.03	2.26	2.8	3.14	2.66	2.48	2.36
Fam171a2	5.33	6	4.37	6.82	6.29	5.26	3.57	4.18	2.52	2.77	2.03	3.41	2.67	3.57	3.27	3.49
Gpc6	0.36	0.27	0.26	0.22	0.38	0.39	0.31	0.33	0.06	0.13	0.34	0.83	0.21	0.43	0.55	0.18
Lrrc40	0.65	1.09	1.18	0.77	0.46	0.82	1.15	0.77	0.46	0.34	0.7	0.35	0.47	0.45	0.43	0.71
Agl	0.17	0.25	0.12	0.37	0.28	0.12	0.25	0.17	0.17	0.07	0.12	0.12	0.07	0.07	0.17	0.19
Cntn2	1.63	1.14	2.63	1.95	2.25	1.5	0.87	1.15	0.73	0.84	0.72	0.85	1.41	0.94	1.07	0.9
Gpi1	33.16	25.97	27.31	29.89	33.52	38.68	36.7	32.79	33.23	28.43	30.93	38.93	25.84	35.48	38.18	27.35
Mapk8	3.25	4.19	2.81	4.81	3.86	5.56	4.28	2.8	2.7	2.29	3.22	1.25	2	1.36	1.93	3.22
Ssh2	0.13	0.24	0.16	0.16	0.2	0.13	0.3	0.26	0.23	0.09	0.26	0.05	0.05	0.1	0.04	0.06
Apba1	2.37	1.83	1.65	2.16	1.98	1.89	1.3	2.6	0.69	0.32	1.86	1.04	0.81	1.44	2.08	0.75
Fto	0.75	0.84	0.7	0.79	0.85	0.28	0.77	0.46	0.6	0.26	0.4	0.18	0.31	0.31	0.32	0.73
Gpm6b	38.68	45.14	47.28	27.29	52.69	58.86	45.94	57.42	22.01	19.1	11.7	43.13	30.19	22.24	33.35	31.42
Gprin2	0.22	0.19	0.28	0.24	0.15	0.17	0.07	0.17	0.18	0.54	0.22	0.48	0.09	0.31	0.65	0.09
Gprin3	0.73	0.48	1.47	1.69	0.46	0.79	0.37	0.83	0.28	0.94	0.46	1.86	0.28	1.34	0.63	0.34
Gps1	5.99	8.26	4.77	7.58	6.44	5.43	5.71	10.69	8.54	6.33	9.34	2.29	6.53	5.09	5.67	5.66
Flii	0.5	0.47	0.47	0.56	0.51	0.5	0.64	0.68	0.37	0.23	0.36	0.27	0.25	0.38	0.2	0.4
Gpx1	4.55	1.56	4.73	1.96	3.38	3.38	3.61	3.84	6.02	1.82	4.84	7.25	4.9	5.78	2.88	4.56
Gpx4	1.72	2.8	2.71	3.1	5.55	2.52	3.8	3.49	1.42	4.68	2	1.96	1.29	3.55	2.84	2.19
Ndufa3	1.57	5.18	5.07	5.95	6.36	1.52	7.95	4.17	3.1	2.19	3.3	1.92	3.53	3.81	1.03	2.68
Cpne5	2.77	2.47	2.6	2.61	3.01	2.28	3.67	2.7	1.7	1	2.71	1.34	1.64	1.13	1.52	1.57
Csnk1e	4.68	3.85	5.28	2.84	7.37	3.24	4.09	5.59	4.24	2.3	1.37	1.2	2.94	2.82	2.93	3.31
Rtfdc1	0.43	0.42	0.26	0.35	0.14	0.18	0.33	0.44	0.24	0.12	0.22	0.14	0.22	0.13	0.17	0.22
Grik2	0.46	0.57	0.38	0.47	0.66	0.32	0.39	0.27	0.43	0.18	0.3	0.34	0.32	0.28	0.46	0.38
Jpt1	172.83	137.38	193.54	138.52	174.88	255.04	89.89	110.79	71.43	97.87	90.9	129.26	75.63	117.15	77.21	70.05
Plppr1	2.65	3.59	1.8	2.12	2.96	3.09	4.36	1.72	0.84	1.79	1.43	2.52	1.81	0.51	1.4	2.49
Gripap1	0.32	0.83	1.13	0.74	1.56	0.46	0.59	0.58	0.65	0.73	0.51	0.16	0.16	0.98	0.22	0.23
Smap1	18.97	23.95	22.65	19.72	22.98	12.37	15.78	24.76	10.99	10.18	9.93	12.24	9.82	12.46	14.44	12.48
Ank3	0.24	0.42	0.21	0.25	0.18	0.19	0.35	0.19	0.29	0.13	0.16	0.17	0.16	0.05	0.11	0.11
Epn2	2.28	1.14	1.38	2.54	2.58	2.87	3.53	3.8	1.59	2.37	1.5	0.79	1.59	2.02	1.04	0.7
Afap1	0.59	0.49	0.87	0.85	1.14	0.75	0.45	0.84	0.79	0.53	0.38	0.33	0.32	0.3	0.45	0.36
Camsap1	0.44	0.36	0.31	0.36	0.4	0.56	0.6	0.59	0.44	0.31	0.31	0.09	0.34	0.26	0.21	0.13
Ptprd	3.12	2.01	2.57	2.04	3.17	2.76	1.95	2.27	1.58	1.48	1.37	1.48	1.19	1.89	1.57	0.91
Ndrg4	10.55	9.66	9.12	9.24	18.26	12.42	12.39	11.57	4.15	5.57	8.14	9.32	2.24	11.75	6.24	6.47
Mtor	0.14	0.22	0.07	0.29	0.14	0.05	0.22	0.15	0.14	0.06	0.09	0.06	0.06	0.15	0.07	0.12
Srcin1	3.11	3.84	2.55	4.48	4.52	4.17	4.59	4.27	3.79	1.66	2.17	1.67	1.9	2.03	2.81	2.25
Slc1a2	8.64	11.96	6.25	9.94	7.71	11.12	6.39	2.76	3.84	3.62	9.61	3.25	4.96	4.82	2.71	4.8
Fabp3	38.68	35.7	29.88	36.34	37.6	35.71	50.93	38.02	21.81	13.59	23.96	21.17	24.62	24.69	21.26	25.26
Cyfip2	8.38	8.69	5.95	7.24	7.76	5.39	8.15	11.26	4.21	2.53	5.62	4.75	4.65	5.73	4.1	4.99
Ptk2b	0.17	0.31	0.16	0.17	0.18	0.1	0.26	0.17	0.12	0.08	0.2	0.09	0.15	0.02	0.1	0.12
Csde1	3.41	4.16	4.77	4.57	4.05	1.9	5.27	3.63	4.02	1.71	3.37	1.43	2.02	1.65	1.85	2.56
Stx1a	52.93	53.35	40.83	54.25	54.7	43.74	45.62	45.08	23.91	18.94	34.59	38.65	24.92	33.51	30.49	23.87
Gstm5	16.53	9.69	15.63	23.53	22.12	17.67	27.1	20.92	17.34	15.83	22.48	13.04	14.37	15.14	11.1	17.25
Gstm7	0.46	0.92	0.5	0.75	0.95	0.79	0.55	0.32	1.39	0.61	1.04	0.1	0.46	1.34	1.42	1.36
Gsto1	17	15.33	15.89	16.39	8.84	13.32	12.2	17.91	13.79	12.83	17.09	11.04	13.62	12.35	15.29	12.37
Gstp1	32.08	32.94	21.18	31.31	62.13	33.06	33.05	35.14	21.08	26.63	21.39	20.25	24.45	41.13	35.51	17.05
Rap1gds1	19.52	19.98	16.14	18.81	20.42	19.6	26.06	19.35	10.13	10.5	14.68	10.52	12.32	12.38	11.02	12.14
Dnajc6	2.17	3.53	1.94	3.48	3.06	2.21	4.81	3.63	1.2	1.07	2.53	1.93	1.61	2.05	1.98	2.19
Rpl10	21.39	22.66	44.46	40.89	25.39	12.76	36.85	41.47	26.93	14.77	34.55	11.49	12.24	17.68	7.13	19.5
Gtf3c1	0.12	0.07	0.05	0.13	0.13	0.04	0.09	0.11	0.16	0.03	0.07	0.01	0.05	0.01	0.02	0.13
Gtf3c3	0.11	0.49	0.47	0.34	0.59	0.05	0.34	0.25	0.55	0.22	0.41	0.04	0.32	0.19	0.31	0.29
Gtpbp1	2.4	1.77	1.56	1.32	1.28	2.24	3.09	1.74	1.74	1.12	1.76	1.73	1.09	2.52	1.66	1.55
Mvk	1.45	1.42	1.68	0.98	1.15	0.69	1.39	1.17	0.83	1.12	0.92	0.51	0.77	0.49	0.29	0.91
Dlg3	1.62	2.38	1.11	1.64	2.67	1.77	3.66	1.46	1.48	0.85	1.6	0.89	1.06	1.1	1.18	1.42
Celf2	18.27	15.53	21.19	17.94	20.47	5.66	22.98	30.33	23.7	7.18	16.12	5.96	13.98	4.38	6.19	11.98
Mapre2	35.26	41.88	31.26	55.38	44.27	30.85	21.1	19.87	19.65	6.67	36.22	15.57	28.15	13.35	21.87	23.2
Gyg	3.45	2.22	3.48	2.64	4.45	2.98	2.39	2.25	2.7	1.45	1.57	10.16	5.43	5.66	3.25	3.6
H1f0	133.16	97.2	84.89	107.73	162.69	43.14	195.37	159.06	170.81	56.95	163.35	40.07	102.03	32.29	126.8	98.63
H1fx	7.04	8.75	7.7	7.45	9.64	3.83	10.85	8.65	12.4	6.2	10.94	3.21	9.9	2.31	6.91	8.46
H2afv	28.99	56.78	19.52	42.57	48.51	20.76	67.35	41.84	59.53	26.54	75.79	33.78	55	33.72	45.01	45.28
H2afy	22.83	33.57	26.64	26.76	27.95	7	36.61	29.74	40.76	11.59	35.25	10.09	36.61	15.39	23.92	27.31
H2afy2	53.56	68.13	50.35	39.39	71.19	18.45	68.11	42.63	74.51	39.48	75.38	25.35	76.99	32.35	47.29	50.34
Prkacb	13.08	10.18	5.77	18.25	13.86	12.08	9.2	9.85	9.04	5.36	7.51	9.52	9.45	1.66	3.7	8.26
Tppp	8.1	6.19	5.63	9.38	8.26	5.8	2.94	5.17	2.92	2.86	2.6	6.75	5.66	4.08	2.28	3.35
Pmvk	2.83	4.09	2.28	3.33	3.46	3.59	3.56	3.71	0.58	0.91	2.53	3.14	2.37	1.22	3.08	2.08
Agfg1	6.69	1.92	7.61	5.97	4.86	5.48	6.01	2.92	5.11	2.85	3.72	1.47	2.63	2.4	2.43	3.98
Kalrn	0.35	0.31	0.14	0.18	0.33	0.18	0.24	0.27	0.18	0.16	0.21	0.08	0.18	0.09	0.15	0.15
H3f3c	1545.59	1874.02	1343.35	1496.15	1656.84	790.93	2114.53	1784.19	2020.12	1445.48	2002.14	884.36	2089.73	1004.27	1614.22	1896.08
Gabbr1	1.3	1.48	1.33	1.92	1.88	1.62	2.06	1.94	1.2	0.7	1.61	0.84	1.3	0.93	0.63	0.83
Hadhb	0.11	0.11	0.17	0.12	0.2	0.2	0.27	0.13	0.18	0.14	0.27	0.12	0.41	0.14	0.25	0.15
Asph	2.11	3.08	3.85	2.23	1.19	1.41	4.05	3.24	1.89	0.99	2.59	1.9	1.04	1.44	1.79	0.96
Hap1	1.91	0.48	2.14	2.18	2.56	1.4	2.5	1.93	1.54	1.45	3.07	2.33	1.9	3.9	3.87	3.27
Hars	10.86	7.12	6.6	8.42	6.81	9.08	10.49	8.27	11.34	8.87	11.93	8.79	8.66	8.25	10.25	9.67
Hat1	0.99	1.05	0.94	0.63	0.75	0.63	1.17	0.59	0.88	0.53	1.24	0.35	0.9	0.68	0.67	0.81
Hba-a2	1305.95	1207.44	1634.59	1331.51	1143.84	2123.65	1966.16	1550.2	1131.51	1560.93	1221.61	2122.31	2530.05	2034.01	2461.77	1581.64
Hbb-b1	1216.65	1097.85	1934.3	1468.83	946.95	1927.98	2169.83	1682.67	1334.84	1630.61	1348.26	1637.46	2234.24	1776.36	2371.01	1530.56
Hbb-b2	331.87	266.7	301.24	213.12	316.58	462.88	247.37	383.34	134.65	171.95	355.08	496.85	537.67	252	550.12	176.64
Hbb-bt	17.12	10.79	289.19	304.46	13.09	28.69	345.21	38.01	272.53	236.72	10.76	5.82	11.38	402.37	47.39	263.66
Cacna1e	0.06	0.05	0.05	0.09	0.06	0.06	0.08	0.06	0.03	0.04	0.05	0.04	0.02	0.05	0.03	0.04
Hcfc1	3.8	3.47	3.76	3.4	3.65	0.94	4.15	3.47	4.41	2.43	4.29	1.91	2.94	1.15	1.7	1.95
Tnr	3.21	7.29	8.37	7.6	8.61	9.53	6.53	7.47	5.73	5.72	2.23	2.29	5.82	4.88	4.73	3.51
Acsbg1	2.03	2.59	3.16	3.14	5.05	3.84	2.77	1.93	1.65	1.79	2.78	0.88	1.75	0.99	1.81	2.95
Hdac2	8.1	11.55	11.38	12.24	7.11	4.42	10.83	13.64	18.02	3.25	11.53	1.71	3.58	1.47	3.75	8.2
Hdac6	2.12	1.9	1.63	1.96	2.2	2.03	2.63	2.17	2.37	2.31	2.07	1.57	1.84	1.76	1.63	1.18
Mllt11	25.25	21.01	28.31	22.84	29.17	30.44	16.18	18.75	14.41	15.08	13.59	16.07	17.06	15.43	13.03	9.86
Hdgf	26.44	26.79	27.36	30.5	20.61	39.11	19.83	16.92	30.54	36.07	22.66	59.01	26.91	43.87	35.91	22.06
Hdgfl2	2.12	3.32	2.72	2.03	4.17	1.97	2.63	2.26	3.6	2.11	2.6	2.79	2.35	2.55	1.62	3.31
Hdgfl3	84.5	76.2	81.82	98.75	91.91	97.72	72.65	68.94	61.53	90.51	87.98	96.37	74.67	82.23	69.94	61.1
Hdhd2	4.39	3.59	3.78	4.86	4.88	4.39	4.15	2.71	1.53	4.19	3.99	5.94	4.63	4.69	6.81	4.51
Maged2	3.07	1.52	1.15	1.87	2.25	2.23	2.14	2.27	0.43	1.51	1.21	0.85	0.75	1.83	1.96	1.31
Hdlbp	0.22	1.03	1.03	0.31	0.46	0.2	0.24	0.33	1.49	0.46	0.55	0.41	0.41	0.71	0.98	0.81
Heatr5b	0.02	0.03	0.02	0.02	0.07	0.01	0.04	0.04	0.01	0.01	0.05	0.01	0.04	0.06	0.04	0.01
Hebp1	10.37	6.65	14.58	10.23	10.62	13.48	11.3	5.49	7.61	13.54	13.02	35.48	11.3	20.03	12.14	10.65
Gatad2b	5.58	5.14	5.12	4.98	4.83	1.81	5.94	5.25	4.26	3.67	3.88	1.44	3.06	1.83	2.11	2.85
Slc8a2	3.05	2.52	1.22	2.7	3.63	1.84	1.77	1.69	1.13	0.8	1.37	2.42	1.4	1.21	1.81	0.89
Tppp3	29.7	25.92	41.5	34.49	32.74	23.42	29.34	30.67	11.23	13.4	20.68	30.4	11.53	26.65	21.77	12.76
Agap3	1.14	2.03	2.01	2.47	1.76	1.32	2.26	1.63	1.99	0.38	1.99	0.79	1.57	0.79	0.05	1.21
Scamp1	14.11	13.86	10.39	10.03	15.7	7.92	11.59	11.56	8.16	6.71	10.12	5.22	6.13	6.62	7.54	6.59
Ubap2	1.22	2.39	3.39	1.58	0.84	1.31	1.49	1.83	0.71	1.34	0.59	0.96	0.61	1.41	1.41	1.41
Hgs	6.64	7.28	3.51	3.33	5.3	3.11	7.96	4.72	5.76	2.58	4	3.76	2.5	4.36	6.55	2.18
Elavl1	31.81	42.48	31.32	29.55	44.28	9.2	44.1	36.54	31.88	17.15	30.98	6.38	21.85	8.98	19.55	25.19
Pfkm	15.52	13.05	10.17	17.35	11.44	9.91	19.36	16.18	11.43	5.9	12.6	8.37	6.95	7.4	5.83	9.55
Hip1r	0.27	0.4	0.17	0.48	0.16	0.22	0.17	0.32	0.23	0.32	0.22	0.28	0.27	0.22	0.62	0.31
Hist1h1a	43.59	58.58	48.22	41	67.14	26.06	74.32	55.26	74.38	34.55	76.34	29.08	66.49	34.76	50.25	55.97
Hist1h1b	46.83	62.37	67.5	55.22	71.55	36.41	58.37	69.13	97.01	67.29	69.04	37.51	104.25	62.01	45.94	70.49
Hist1h1c	8.69	12.46	12.73	8.18	39.08	7.49	41.01	65.39	21.13	25.3	71.37	7.51	79.62	10.16	17.79	20.21
Hist1h1d	201.67	241.65	230.06	207.12	256.31	128.79	271.05	317.67	417.76	230.24	328.99	140.86	336.35	217.12	291.58	269.31
Hist1h1e	59.39	63.43	67.38	61.34	82.54	33.66	93.73	95.9	136.62	72.28	92.31	41.86	106.1	77.3	74.51	83.87
Nudt18	0.09	0.09	0.06	0.12	0.08	0.05	0.1	0.06	0.04	0.02	0.07	0.04	0.06	0.06	0.04	0.05
Vcan	3.37	2.56	4.76	3.28	5.25	6.86	3.18	3.77	1.99	3.24	1.46	3.08	2.7	3.17	1.87	2.39
Hist1h4k	4337.43	5382.63	3875.06	4181.46	4695.7	3103.92	5376.33	5117.7	5384.2	3903.62	5567.28	2992.7	6586.09	3450.4	5271.76	5800.01
Hk1	5.18	5.76	6.77	3.57	6.77	2.62	6.66	6.67	7.26	4.21	10.96	2.39	4.84	4.44	7.27	7.13
Acsl4	0.38	0.52	0.53	0.39	0.67	0.37	0.53	0.43	0.28	0.13	0.61	0.28	0.22	0.3	0.05	0.44
Grm5	2.33	3.35	3.61	2.9	3.39	1.78	2.82	2.97	1.38	1.91	1.91	1.76	1.78	1.44	1.81	1.97
Camk4	3.36	5.64	5.19	3.5	9.31	8.55	3.98	4.63	3.8	3.18	3.45	2.88	4.04	3.26	1.61	4.42
Eif3b	5.77	7.47	6.93	6.74	5.48	3.2	8.59	7.86	6.05	2.06	5.66	3.26	4.25	2.78	3.87	3.49
Hmgb3	110.82	130.74	177.47	150.98	113.91	132.78	129.95	145.7	165.63	204.8	146.94	126.75	151.48	170.42	137.79	152.65
Mvd	4.55	6.92	4.23	7.31	4.9	4	9.52	3.15	6.37	3.57	1.66	4.32	2.93	3.08	2.29	2.71
Luc7l2	12.92	16.64	12.24	12.23	14.21	5.56	10.42	11.72	15.39	6.38	4.71	7.58	5.87	5.83	5.66	6.56
Hmgn5	3.09	1.96	2.59	1.63	1.81	3.05	1.44	1.26	1.49	2.62	2.3	4.62	1.03	5.09	3.27	0.41
Grin2b	0.32	0.28	0.32	0.37	0.41	0.33	0.56	0.3	0.33	0.16	0.26	0.14	0.24	0.1	0.32	0.21
Hmox2	1.95	3.62	2.54	2.2	2.55	2.55	4.4	2.36	2.78	2.83	3.09	2.38	3.68	3.57	5.26	4.8
Hnrnpa0	104	109.94	98.38	92.41	110.21	40.24	126.43	105.09	110.15	51.1	110.99	47.08	96.9	55.55	67.89	89.28
Hnrnpa1	301.62	503.73	369.71	349.83	494.67	163.1	628.31	443.55	418.15	248.38	486.86	199.74	466.2	252.63	317.43	324.46
Hnrnpa2b1	360.3	450.01	427.01	408.41	449.91	184.9	511.72	431.6	486.22	326.09	485.26	235.67	398.74	288.42	342.64	415.19
Hnrnpa3	183.19	330.53	219.43	222.53	247.32	124.95	295.47	264.45	329.82	170.96	306.27	137.21	271.68	166.84	199.74	258.06
Hnrnpab	108.79	113.84	129.5	135.3	112.3	93.55	93.83	106.94	106.43	126.26	118.61	107.56	106.09	129.61	103.6	96.83
Hnrnpc	54.27	67.08	52.8	46.79	60.39	23.53	64.86	62.81	70.68	41.63	64.27	35.57	60.3	33.34	55.75	52.1
Hnrnpd	124.76	136.6	198.21	149.04	128.93	100.53	133.75	202.12	209.37	181.93	195.27	178.53	153.2	181.79	172.14	125.91
Hnrnpdl	28.62	32.58	47.69	36.23	29.68	22.6	27.52	29.29	39.41	27.66	30.35	43.9	32.04	42.5	30.45	32.88
Hnrnpf	38.1	48.23	54.59	33.27	50	16.66	46.13	46.16	56.86	30.68	47.3	16.01	37.89	20.16	26.71	37.09
Hnrnph1	158.22	187.15	165.15	152.71	179.84	107.12	204.01	185.18	213.75	134.72	174.53	93.82	190.58	116.42	145.73	180.22
Hnrnph2	12.44	11.24	13.67	12.38	9.87	4.31	19.18	21.32	18.32	8	12.59	3.44	16.99	8.67	12.58	11.09
Hnrnph3	15.24	16.02	12.92	13.19	17.56	9.11	12.48	16.39	16.12	13.85	16.15	12.17	23.07	13.42	14.27	18.17
Hnrnpk	153.74	205.14	166.61	149.89	159.79	90.77	200.24	219.04	249.35	151.38	207.45	106.12	161.95	125.68	181.06	172.14
Hnrnpl	116.9	121.01	98.47	88.51	115.9	49.21	122.18	112.72	134.16	55.96	107.65	48.46	92.47	57.08	71.45	80.76
Hnrnpll	11.31	19.31	11.77	15.05	14.05	3.21	17.41	16.12	18.23	5.96	16.33	6.32	12.41	5.97	10.1	13.53
Hnrnpm	43.78	42.13	42.36	39.55	43.88	16.86	51.19	43.13	60.56	33.42	50.14	18.39	42.47	21.68	34.82	45.71
Hnrnpr	25.83	37.98	29.61	25.66	34.32	12.09	35.91	34.51	31.73	17.67	28.45	11.9	31.99	18.65	20.45	20.08
Hnrnpu	116.55	147.79	121.27	122.75	132.46	46.85	186.87	167.87	162.81	80.31	157.89	64.8	133.1	69.25	99.1	119.9
Hnrnpul1	5.82	9.92	4.28	7.41	5.67	0.5	8.05	7.96	9.53	5.14	7.99	1.27	7.89	1.27	3.73	5.64
Hnrnpul2	25.32	28.91	31.9	22.04	25.23	6.73	36.56	31.43	32.18	16.11	25.96	12.03	27.6	13.62	14.89	23.28
Homer1	3.76	3.21	3.87	6.02	1.29	3.52	4.44	5.26	3.58	4.46	2.95	2.89	3.19	2.4	3.29	4.15
Hook3	1.69	1.62	1.76	1.73	2.02	0.86	2.14	1.52	1.62	1.17	1.57	1.31	1.23	1.57	1.69	1.81
Hp1bp3	21.6	30.52	20.33	18.74	21.28	9.29	27.84	26.85	29.19	14.43	33.08	8.23	29.61	8.39	13.91	10.6
Nectin1	2.94	4.48	4.17	3.29	7.09	4.74	2.72	5.91	1.32	2.28	3.17	4.44	1.26	4.34	3.52	1.05
Hpcal1	10.82	11.52	6.95	10.08	16.07	13.28	16.61	14	11.64	11.27	6.75	10.17	12.22	12.16	17.4	12.61
Ephb2	5.39	3.6	3.5	4.96	3.8	2.05	1.93	3.57	1.43	1.66	1.87	2.44	2.17	4.74	1.75	1.37
Sgip1	0.88	0.92	0.39	1.21	0.98	0.61	1.17	1.01	0.6	0.48	0.56	0.75	0.62	0.83	0.39	0.11
Spast	0.56	0.33	0.56	0.8	0.61	0.36	0.79	1.17	0.58	0.38	0.64	0.43	0.2	0.42	0.22	0.27
Nfu1	8.23	9.42	15.84	8.06	8.06	20.09	10.87	7.79	2.21	7.8	4.68	11.65	6.13	5.89	10.46	4.71
Acot7	59.23	60.98	52	60.59	65.44	43.39	60.03	53.13	37.85	25.76	38.81	34.91	32.6	35.1	35.89	34.78
Hs1bp3	0.6	0.24	0.22	0.21	0.2	0.33	0.31	0.25	0.3	0.26	0.58	0.42	0.42	0.63	0.38	0.42
Srgap2	8.58	6.64	4.07	7.38	8.52	6.73	8.81	8.25	6.39	3.05	5.51	3.18	5.08	4.2	3.48	4.88
Pclo	0.41	0.34	0.26	0.23	0.24	0.37	0.26	0.36	0.18	0.13	0.12	0.2	0.11	0.24	0.39	0.11
Hsd17b12	3.9	2.88	4.51	5.27	1.63	1.19	6.35	3.46	5.29	3.78	5.38	3.14	2.89	4.5	5.21	5.05
Hsdl1	0.9	0.89	1.08	0.73	0.93	0.51	1.26	1.23	2.15	0.66	2.12	0.32	3.15	0.59	2.09	2.21
Hsp90aa1	108.36	108.42	84.84	107.73	99.74	104.42	100.93	100.1	96.86	100.15	100.4	79.31	86.76	84.42	92.93	105.65
Hsp90ab1	261.17	316.55	235.26	306.66	303.61	284.63	291.61	317.63	286.43	238.31	290.6	238.08	207.07	267.68	262.35	295.95
Cyb5r3	14.5	14.77	11.02	8.65	22.58	5.45	15.01	13.12	4.58	9.58	12.22	6.57	7.2	6.9	5.89	10.8
Snca	298.22	230.11	302.66	252.55	263.3	349.51	237.58	211.66	120.56	148.93	180.34	278.84	169.04	83.47	177.58	145.18
Hspa14	0.18	0.39	0.16	0.28	0.2	0.31	0.31	0.36	0.28	0.41	0.36	0.2	0.19	0.1	0.44	0.12
Hspa1a	2.18	2.34	1.71	2.03	4.08	2.52	3.2	3.58	2.01	2.54	1.95	1.46	2.57	2.05	2.98	3.8
Hspa2	0.39	0.12	0.12	0.18	0.14	0.12	0.2	0.16	0.38	0.09	0.63	0.16	0.13	0.06	0.1	0.08
Hspa4	26.29	30.01	27.18	33.34	34.54	28.67	26.74	27.28	32.65	23.75	33.75	30.34	22.31	27.42	33.25	27.68
Adgrl2	0.79	0.6	0.62	0.65	0.45	0.28	0.53	0.37	0.53	0.21	0.46	0.4	0.15	0.42	0.17	0.28
Tubb4a	57.78	50.25	40.28	54.62	66.29	50.3	55.23	50.82	40.32	22.83	38.19	31.18	32.22	29.78	40.54	24
Hspa8	566.16	608.46	485.27	536.64	572.67	516.85	627	583.03	543.22	434.96	556.85	443.76	460.71	521.65	552.95	581.96
Hspa9	10.86	11.52	17.45	8.13	12.2	12.91	11.19	13.4	9.31	12.16	11.5	15.6	10.27	8.85	15.31	7.58
Hspbp1	2.11	2.09	1.64	3.22	1.59	1.55	1.64	1.74	1.21	1.33	2.05	1.56	2.03	1.86	1.25	2.33
Hspd1	15.44	16.71	18.62	15.76	12.33	14.95	18.56	18.09	11.35	12.58	17.59	21.68	14.87	18.66	23.12	9.19
Hspe1	391.48	279.71	471.42	409.8	389.21	411.2	310.57	377.98	230.26	306.73	326.12	489.31	317.62	337.98	332.62	223.11
Pitpnb	1.87	2.77	3.14	2.25	5.29	2.19	3.26	3.84	2.41	1.96	3.74	1.27	0.54	1.38	2.48	1.2
Robo2	1.38	1.98	1.66	3.98	2.36	4.07	2.55	2.42	1.36	1.29	1.64	1.51	1.46	2.48	1.41	1.29
Usp47	1.55	1.08	1.04	0.98	0.53	0.92	1.26	1.66	0.69	0.27	1.07	0.65	0.27	0.99	0.54	1.03
Podxl2	7.39	4.83	4.51	5.95	3.53	6.97	3.67	4.86	2.79	2.99	2.21	3.8	2.85	3.97	3.54	3.35
Hyou1	4.97	5.13	5.09	4.11	5.04	2.31	4.85	4.16	5.96	3.56	8.31	5.33	3.63	6.12	5.85	6.39
Hypk	10.36	9.95	11.9	12.18	11.64	12.33	6.84	9.88	7.59	11.46	9.21	13.48	11.07	18	12.81	8.35
Iars	0.03	0.2	0.74	0.81	0.73	0.34	1.12	0.96	1.35	0.59	1.26	0.14	0.36	0.56	0.63	0.47
Bclaf1	10.27	12.31	10.84	10.86	12.49	3.83	13.1	13.49	8.6	6.39	9.14	5.2	6.28	5.77	4.89	7.05
Fh1	4.4	4.94	3.87	3.68	4.36	3.16	6.71	4.86	3.75	0.79	4.18	1.64	5.41	3.16	1.72	1.38
Ide	1.35	2.22	0.74	1.54	1.39	1.42	1.99	1.02	1.06	1.11	1.16	2.22	0.93	1.44	1.12	1.47
Sez6l	1.18	0.4	1.44	1.09	1.55	1.97	1.15	1.38	0.25	0.68	0.68	0.79	0.89	1.57	1.11	0.26
Ncdn	12.38	14.89	8.37	15.1	15.81	8.4	16.45	14.15	10.89	9.75	11.78	5.41	7.21	6.03	5.13	8.46
Irgq	8.77	7.44	3.82	10.08	7.31	6.31	4.94	4.3	5.74	3.33	3	5.06	4.68	3.46	2.79	4.41
